Ontology1,Ontology2,Entity1,Entity2,Parent1,Parent2,Path1,Path2,Type
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,Misc,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/Misc,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,TechReport,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,PhdThesis,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/PhdThesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,InCollection,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/InCollection,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,SoftCopy,Part,Thing,Thing/Reference/Part/Article,Thing/SoftCopy,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,InProceedings,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/InProceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,InBook,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/InBook,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,Book,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/Book,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,Publication,Part,Resource,Thing/Reference/Part/Article,Thing/Resource/Publication,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,Proceedings,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/Proceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,MastersThesis,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/MastersThesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,Article,Part,Publication,Thing/Reference/Part/Article,Thing/Publication/Article,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Article,Resource,Part,Thing,Thing/Reference/Part/Article,Thing/Resource,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,Misc,Reference,Publication,Thing/Reference/Academic,Thing/Publication/Misc,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,TechReport,Reference,Publication,Thing/Reference/Academic,Thing/Publication/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,PhdThesis,Reference,Publication,Thing/Reference/Academic,Thing/Publication/PhdThesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,InCollection,Reference,Publication,Thing/Reference/Academic,Thing/Publication/InCollection,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,SoftCopy,Reference,Thing,Thing/Reference/Academic,Thing/SoftCopy,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,InProceedings,Reference,Publication,Thing/Reference/Academic,Thing/Publication/InProceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,InBook,Reference,Publication,Thing/Reference/Academic,Thing/Publication/InBook,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,Book,Reference,Publication,Thing/Reference/Academic,Thing/Publication/Book,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,Publication,Reference,Resource,Thing/Reference/Academic,Thing/Resource/Publication,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,Proceedings,Reference,Publication,Thing/Reference/Academic,Thing/Publication/Proceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,MastersThesis,Reference,Publication,Thing/Reference/Academic,Thing/Publication/MastersThesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,Article,Reference,Publication,Thing/Reference/Academic,Thing/Publication/Article,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Academic,Resource,Reference,Thing,Thing/Reference/Academic,Thing/Resource,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,Misc,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/Misc,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,TechReport,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,PhdThesis,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/PhdThesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,InCollection,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/InCollection,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,SoftCopy,Report,Thing,Thing/Reference/Report/TechReport,Thing/SoftCopy,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,InProceedings,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/InProceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,InBook,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/InBook,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,Book,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/Book,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,Publication,Report,Resource,Thing/Reference/Report/TechReport,Thing/Resource/Publication,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,Proceedings,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/Proceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,MastersThesis,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/MastersThesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,Article,Report,Publication,Thing/Reference/Report/TechReport,Thing/Publication/Article,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,TechReport,Resource,Report,Thing,Thing/Reference/Report/TechReport,Thing/Resource,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Report,Misc,Reference,Publication,Thing/Reference/Report,Thing/Publication/Misc,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Report,TechReport,Reference,Publication,Thing/Reference/Report,Thing/Publication/TechReport,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Report,PhdThesis,Reference,Publication,Thing/Reference/Report,Thing/Publication/PhdThesis,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Report,InCollection,Reference,Publication,Thing/Reference/Report,Thing/Publication/InCollection,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Report,SoftCopy,Reference,Thing,Thing/Reference/Report,Thing/SoftCopy,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Report,InProceedings,Reference,Publication,Thing/Reference/Report,Thing/Publication/InProceedings,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Report,InBook,Reference,Publication,Thing/Reference/Report,Thing/Publication/InBook,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/302.rdf,Report,Book,Reference,Publication,Thing/Reference/Report,Thing/Publication/Book,Class
