Ontology1,Ontology2,Entity1,Entity2,Parent1,Parent2,Path1,Path2,Type,Ngram1_Entity,Ngram2_Entity,Ngram3_Entity,Ngram4_Entity,Dice_Entity,Jaccard_Entity,Jaro_Entity,Monge-Elkan_Entity,SmithWaterman_Entity,AffineGap_Entity,BagDistance_Entity,Cosine_similarity_Entity,PartialRatio_Entity,Soft_TFIDF_Entity,Editex_Entity,GeneralizedJaccard_Entity,JaroWinkler_Entity,Levenshtein_Entity,PartialTokenSort_Entity,Ratio_Entity,Soundex_Entity,TFIDF_Entity,TokenSort_Entity,TverskyIndex_Entity,OverlapCoef_Entity,Needleman-Wunsch_Entity,Wordnet_sim_Entity,Word2vec_sim_Entity,Ngram1_Parent,Ngram2_Parent,Ngram3_Parent,Ngram4_Parent,Dice_Parent,Jaccard_Parent,Jaro_Parent,Monge-Elkan_Parent,SmithWaterman_Parent,AffineGap_Parent,BagDistance_Parent,Cosine_similarity_Parent,PartialRatio_Parent,Soft_TFIDF_Parent,Editex_Parent,GeneralizedJaccard_Parent,JaroWinkler_Parent,Levenshtein_Parent,PartialTokenSort_Parent,Ratio_Parent,Soundex_Parent,TFIDF_Parent,TokenSort_Parent,TverskyIndex_Parent,OverlapCoef_Parent,Needleman-Wunsch_Parent,Wordnet_sim_Parent,Word2vec_sim_Parent,Ngram1_Path,Ngram2_Path,Ngram3_Path,Ngram4_Path,Dice_Path,Jaccard_Path,Jaro_Path,Monge-Elkan_Path,SmithWaterman_Path,AffineGap_Path,BagDistance_Path,Cosine_similarity_Path,PartialRatio_Path,Soft_TFIDF_Path,Editex_Path,GeneralizedJaccard_Path,JaroWinkler_Path,Levenshtein_Path,PartialTokenSort_Path,Ratio_Path,Soundex_Path,TFIDF_Path,TokenSort_Path,TverskyIndex_Path,OverlapCoef_Path,Needleman-Wunsch_Path,Wordnet_sim_Path,Word2vec_sim_Path
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Conference,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Conference,Class,0.1875,0.05,0.0,0.0,0.0,0.0,0.5444444417953491,0.5444444417953491,3.0,2.0,0.30000000000000004,0.0,0.33,0.5444444417953491,0.35,0.5444444417953491,0.5444444417953491,0.30000000000000004,0.33,0.32,0,0.0,0.32,0.0,0.0,2.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.4857142857142857,0.3170731707317073,0.24444444444444444,0.20833333333333334,0.0,0.0,0.6817587614059448,0.8280808329582214,7.0,4.5,0.5666666666666667,0.0,0.59,0.7134680151939392,0.44999999999999996,0.7134680151939392,0.8090552687644958,0.33333333333333337,0.68,0.5,0,0.0,0.58,0.0,0.0,2.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Entry,Book,Thing,Thing/Reference/Book/Monograph,Thing/Entry,Class,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5407407283782959,0.5407407283782959,1.0,-1.5,0.2222222222222222,0.0,0.4,0.5407407283782959,0.33333333333333337,0.5407407283782959,0.5407407283782959,0.2222222222222222,0.4,0.29,0,0.0,0.29,0.0,0.0,-2.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.2857142857142857,0.0,0.24242424242424243,0.16216216216216217,0.15384615384615385,0.14634146341463414,0.0,0.0,0.6229798197746277,0.8014141321182251,6.0,-3.0,0.2666666666666667,0.0,0.64,0.6690235733985901,0.35,0.6690235733985901,0.7737879157066345,0.2666666666666667,0.76,0.34,0,0.0,0.39,0.0,0.0,-11.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Article,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Article,Class,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.5,0.11111111111111116,0.0,0.17,0.0,0.16666666666666663,0.0,0.0,0.0,0.2,0.12,0,0.0,0.12,0.0,0.0,-2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.32432432432432434,0.13333333333333333,0.1276595744680851,0.12244897959183673,0.0,0.0,0.6216374039649963,0.777354896068573,6.0,1.0,0.4,0.0,0.42,0.6289248466491699,0.41666666666666663,0.6289248466491699,0.7729824185371399,0.2666666666666667,0.58,0.29,0,0.0,0.37,0.0,0.0,-3.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Inproceedings,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Inproceedings,Class,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.5007122755050659,0.5007122755050659,1.0,-2.0,0.3846153846153846,0.0,0.33,0.5007122755050659,0.23076923076923073,0.5007122755050659,0.5007122755050659,0.07692307692307687,0.33,0.27,0,0.0,0.27,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.4473684210526316,0.14,0.11320754716981132,0.10909090909090909,0.0,0.0,0.6704575419425964,0.797333300113678,8.0,6.0,0.5666666666666667,0.0,0.4,0.6622222065925598,0.43333333333333335,0.6622222065925598,0.8022745251655579,0.33333333333333337,0.57,0.44,0,0.0,0.36,0.0,0.0,5.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,TechReport,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/TechReport,Class,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.4333333373069763,0.5185185074806213,1.0,-1.0,0.4,0.0,0.31,0.3666479528102749,0.19999999999999996,0.25925925374031067,0.4333333373069763,0.0,0.31,0.21,0,0.0,0.21,0.0,0.0,-1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.4857142857142857,0.14893617021276595,0.12,0.11538461538461539,0.0,0.0,0.6817587614059448,0.8030127882957458,7.0,4.0,0.5666666666666667,0.0,0.41,0.4749551539459329,0.44999999999999996,0.3358440101146698,0.8090552687644958,0.33333333333333337,0.56,0.35,0,0.0,0.42,0.0,0.0,2.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Book,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Book,Class,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.5740740895271301,0.5740740895271301,1.0,-1.5,0.2222222222222222,0.0,0.5,0.5740740895271301,0.2222222222222222,0.5740740895271301,0.5740740895271301,0.2222222222222222,0.5,0.31,0,0.0,0.31,0.0,0.0,-3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.3939393939393939,0.2631578947368421,0.21951219512195122,0.18181818181818182,0.0,0.0,0.7229700684547424,0.8540476560592651,8.0,3.5,0.43333333333333335,0.0,0.5,0.7567460536956787,0.44999999999999996,0.7567460536956787,0.8337820172309875,0.4,0.56,0.52,0,0.0,0.57,0.0,0.0,-2.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Phdthesis,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Phdthesis,Class,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11111111111111116,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.275,0.1276595744680851,0.12244897959183673,0.11764705882352941,0.0,0.0,0.5695526599884033,0.7442857027053833,6.0,2.5,0.3666666666666667,0.0,0.38,0.5738095045089722,0.3833333333333333,0.5738095045089722,0.741731584072113,0.2666666666666667,0.58,0.27,0,0.0,0.39,0.0,0.0,-1.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Misc,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Misc,Class,0.08333333333333333,0.07142857142857142,0.0625,0.05555555555555555,0.0,0.0,0.45370370149612427,0.5083333253860474,1.0,-2.0,0.11111111111111116,0.0,0.25,0.0,0.16666666666666663,0.0,0.5083333253860474,0.11111111111111116,0.25,0.15,0,0.0,0.15,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.3142857142857143,0.17073170731707318,0.13636363636363635,0.13043478260869565,0.0,0.0,0.6241161823272705,0.7799999713897705,6.0,0.5,0.3666666666666667,0.0,0.5,0.6333333253860474,0.4,0.6333333253860474,0.7744697332382202,0.30000000000000004,0.69,0.39,0,0.0,0.39,0.0,0.0,-5.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Unpublished,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Unpublished,Class,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.4680134654045105,0.4680134654045105,1.0,-0.5,0.2727272727272727,0.0,0.33,0.0,0.31818181818181823,0.0,0.4680134654045105,0.09090909090909094,0.33,0.3,0,0.0,0.3,0.0,0.0,-1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.325,0.12244897959183673,0.11764705882352941,0.11320754716981132,0.0,0.0,0.5892605185508728,0.777101457118988,6.0,3.0,0.43333333333333335,0.0,0.35,0.6285024285316467,0.41666666666666663,0.6285024285316467,0.7535563111305237,0.2666666666666667,0.48,0.26,0,0.0,0.3,0.0,0.0,1.0,0.0,0.0
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Monograph,Booklet,Book,Entry,Thing/Reference/Book/Monograph,Thing/Entry/Booklet,Class,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5026454925537109,0.5026454925537109,1.0,0.0,0.2222222222222222,0.0,0.29,0.5026454925537109,0.33333333333333337,0.5026454925537109,0.5026454925537109,0.2222222222222222,0.29,0.25,0,0.0,0.25,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,0.3076923076923077,0.0,0.4,0.24390243902439024,0.20454545454545456,0.1702127659574468,0.0,0.0,0.6630743741989136,0.8045614361763,8.0,5.0,0.4666666666666667,0.0,0.58,0.6742690205574036,0.4833333333333333,0.6742690205574036,0.797844648361206,0.4,0.49,0.49,0,0.0,0.53,0.0,0.0,1.0,0.0,0.0
