Ontology1,Ontology2,Entity1,Entity2,Parent1,Parent2,Path1,Path2,Match,Type
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Phdthesis,Thing,Entry,Thing/Address,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Entry,Thing,Thing,Thing/Address,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Mastersthesis,Thing,Entry,Thing/Address,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Misc,Thing,Entry,Thing/Address,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Conference,Thing,Entry,Thing/Address,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Inbook,Thing,Entry,Thing/Address,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Book,Thing,Entry,Thing/Address,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Incollection,Thing,Entry,Thing/Address,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Manual,Thing,Entry,Thing/Address,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Booklet,Thing,Entry,Thing/Address,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Proceedings,Thing,Entry,Thing/Address,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Unpublished,Thing,Entry,Thing/Address,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,TechReport,Thing,Entry,Thing/Address,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Inproceedings,Thing,Entry,Thing/Address,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Article,Thing,Entry,Thing/Address,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Phdthesis,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Entry,Reference,Thing,Thing/Reference/Academic,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Mastersthesis,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Misc,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Conference,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Inbook,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Book,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Incollection,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Manual,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Booklet,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Proceedings,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Unpublished,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,TechReport,Reference,Entry,Thing/Reference/Academic,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Inproceedings,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Academic,Article,Reference,Entry,Thing/Reference/Academic,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Phdthesis,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Entry,Report,Thing,Thing/Reference/Report/TechReport,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Mastersthesis,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Misc,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Conference,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Inbook,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Book,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Incollection,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Manual,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Booklet,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Proceedings,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Unpublished,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,TechReport,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/TechReport,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Inproceedings,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,TechReport,Article,Report,Entry,Thing/Reference/Report/TechReport,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Phdthesis,Thing,Entry,Thing/Conference,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Entry,Thing,Thing,Thing/Conference,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Mastersthesis,Thing,Entry,Thing/Conference,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Misc,Thing,Entry,Thing/Conference,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Conference,Thing,Entry,Thing/Conference,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Inbook,Thing,Entry,Thing/Conference,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Book,Thing,Entry,Thing/Conference,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Incollection,Thing,Entry,Thing/Conference,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Manual,Thing,Entry,Thing/Conference,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Booklet,Thing,Entry,Thing/Conference,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Proceedings,Thing,Entry,Thing/Conference,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Unpublished,Thing,Entry,Thing/Conference,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,TechReport,Thing,Entry,Thing/Conference,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Inproceedings,Thing,Entry,Thing/Conference,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Conference,Article,Thing,Entry,Thing/Conference,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Phdthesis,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Entry,Reference,Thing,Thing/Reference/Misc,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Mastersthesis,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Misc,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Misc,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Conference,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Conference,0,Class
